2025-05-28 09:12:20.346522+0000	INFO	             env/logging.go:42	=====================> Service started SCION Daemon sd4-ff00_0_410
  Scion version: 

  pid:           188710
  euid/egid:     1000 1000
  cmd line:      ["bin/daemon" "--config" "gen/ASff00_0_410/sd.toml"]

2025-05-28 09:14:19.965306+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.965409+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "4019dc3c", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.965675+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.965900+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "b95af4a0", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.966193+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "4-ff00:0:410", "chains": 1}
2025-05-28 09:14:19.966911+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"isd_as": "4-ff00:0:410", "chains": 1}
2025-05-28 09:14:19.972809+0000	DEBUG	      seghandler/storage.go:46	Segments inserted in DB	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "segments": ["2c6902caf543c2401a08f4a9"]}
2025-05-28 09:20:43.393260+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "481072ac", "trace_id": "1f1817199c368f84", "method": "/proto.daemon.v1.DaemonService/AS"}
2025-05-28 09:20:43.393970+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "d7a1d588", "trace_id": "0054b2a9c374fa80", "method": "/proto.daemon.v1.DaemonService/PortRange"}
2025-05-28 09:20:43.394222+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "5148cba4", "trace_id": "132dc1b4fbd656f3", "method": "/proto.daemon.v1.DaemonService/Interfaces"}
2025-05-28 09:20:43.394543+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "method": "/proto.daemon.v1.DaemonService/Paths"}
2025-05-28 09:20:43.395079+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "a1dddb8f", "trace_id": "210997dea83c8bbb", "method": "/proto.control_plane.v1.SegmentLookupService/Segments", "target": "svc:///CS"}
